fxo_id,entity_identifier,country,period_end,window,json_url,sha256_recorded,n_facts,n_concepts,n_ifrs_full,n_extension
4N6SD705LP5XZKA2A097-2020-12-31-ESEF-FR-0,4N6SD705LP5XZKA2A097,FR,2020-12-31,train,/4N6SD705LP5XZKA2A097/2020-12-31/ESEF/FR/0/4N6SD705LP5XZKA2A097-2020-12-31AR.json,8704779d2c6c7c921bb6b196ac74c6872b86759df29b03cae7c71bbae2eb4467,512,139,122,17
5493007KMDG4MFIGJJ63-2020-12-31-ESEF-FR-0,5493007KMDG4MFIGJJ63,FR,2020-12-31,train,/5493007KMDG4MFIGJJ63/2020-12-31/ESEF/FR/0/maunakeatech-2020-12-31AR.json,b47896eefe5a324efa0328688c8e88861c067d3eb96d161dfe059073be7ef377,266,93,79,14
549300AK8Y0LBIQ4T071-2020-12-31-ESEF-FR-0,549300AK8Y0LBIQ4T071,FR,2020-12-31,train,/549300AK8Y0LBIQ4T071/2020-12-31/ESEF/FR/0/549300AK8Y0LBIQ4T071-2020-12-31AR.json,ba8b8dc22568008f94917a09e24a1fb75116e0358de683b157f9da2c57d52702,333,122,90,32
549300E6W08778I4OW85-2020-12-31-ESEF-FR-0,549300E6W08778I4OW85,FR,2020-12-31,train,/549300E6W08778I4OW85/2020-12-31/ESEF/FR/0/caffil-2020-12-31AR.json,cc1b40ebc7d088a93cbd6c2b47b3a807b61bdbeacf1175eb18fd492305871c46,283,89,65,24
2138002W9Q21PF751R30-2020-12-31-ESEF-GB-0,2138002W9Q21PF751R30,GB,2020-12-31,train,/2138002W9Q21PF751R30/2020-12-31/ESEF/GB/0/2138002W9Q21PF751R30-2020-12-31-T01.json,65bd0278cdb495f8d5dc2dba4c002d572afe3e9c98da226b6438b2977749787d,319,104,91,13
213800B6P256B5XN8D32-2020-12-31-ESEF-GB-0,213800B6P256B5XN8D32,GB,2020-12-31,train,/213800B6P256B5XN8D32/2020-12-31/ESEF/GB/0/213800B6P256B5XN8D32-2020-12-31-T01.json,1c1932352bc600d8188c04e49997ffb799b18714a2a9e3321bb391f373982e91,444,101,95,6
213800FKA5MF17RJKT63-2020-12-31-ESEF-GB-0,213800FKA5MF17RJKT63,GB,2020-12-31,train,/213800FKA5MF17RJKT63/2020-12-31/ESEF/GB/0/213800FKA5MF17RJKT63-2020-12-31-T01.json,e46ccd94a1a907e11bcb954f0e7a4add31d6791d8e875ac09550d05f1b1bf3de,476,124,107,17
213800IGT65IMJDO4S03-2020-12-31-ESEF-GB-0,213800IGT65IMJDO4S03,GB,2020-12-31,train,/213800IGT65IMJDO4S03/2020-12-31/ESEF/GB/0/213800IGT65IMJDO4S03-2020-12-31-T01.json,5ac1dcbd180ea76452683893c185864b1474b04079532a3a65831c416d0921b5,380,108,98,10
213800J17UJJJDGUVF56-2020-12-31-ESEF-GB-0,213800J17UJJJDGUVF56,GB,2020-12-31,train,/213800J17UJJJDGUVF56/2020-12-31/ESEF/GB/0/213800J17UJJJDGUVF56-2020-12-31-T01.json,6a6f5f743fa018a70ca01d1c217f635445befcbc9c2e9817879e516779919881,262,98,89,9
2138003J1IUF4RSQ4K72-2021-12-31-ESEF-GR-0,2138003J1IUF4RSQ4K72,GR,2021-12-31,train,/2138003J1IUF4RSQ4K72/2021-12-31/ESEF/GR/0/2138003J1IUF4RSQ4K72-2021-12-31-en.json,7f94bdc8b0883bba001792dbc56770662389c52f8026e8ecb96b7b3ed91d7d31,721,109,97,12
2138003J1IUF4RSQ4K72-2021-12-31-ESEF-GR-1,2138003J1IUF4RSQ4K72,GR,2021-12-31,train,/2138003J1IUF4RSQ4K72/2021-12-31/ESEF/GR/1/2138003J1IUF4RSQ4K72-2021-12-31-en.json,d9a5c7c22218e3f65a7c34ddd1cbc9b85587c7230f006d9091baeea9b2532907,721,109,97,12
2138003TO2MTRHWVP686-2021-12-31-ESEF-GR-0,2138003TO2MTRHWVP686,GR,2021-12-31,train,/2138003TO2MTRHWVP686/2021-12-31/ESEF/GR/0/2138003TO2MTRHWVP686-2021-12-31-en.json,7ad26a2185f68e32d5b0fec067f964904b3b9f00345673f02f7a13b1ea3b979b,533,178,141,37
21380044V7NMV5WGP427-2021-12-31-ESEF-GR-0,21380044V7NMV5WGP427,GR,2021-12-31,train,/21380044V7NMV5WGP427/2021-12-31/ESEF/GR/0/21380044V7NMV5WGP427-2021-12-31-en.json,cdd0771ff99d74765ea895c261624522c4408a1e70c4edd175c1b9446d292b00,367,102,90,12
21380051TUVZ3KYK5G44-2021-12-31-ESEF-GR-0,21380051TUVZ3KYK5G44,GR,2021-12-31,train,/21380051TUVZ3KYK5G44/2021-12-31/ESEF/GR/0/21380051TUVZ3KYK5G44-2021-12-31-en.json,f64f8daf9745cb46efd3ad14518090ae58214e96b98ea1ec185c1c9e1235eb83,421,110,103,7
529900NRAH6YWL3TLD24-2020-12-31-ESEF-HR-0,529900NRAH6YWL3TLD24,HR,2020-12-31,train,/529900NRAH6YWL3TLD24/2020-12-31/ESEF/HR/0/JGL_2020_godisnje_izvjesce.json,3aeb292e9797b45e23e8cc628b24d1214eaed810bec7fd47a3e1c149a7c8c5d7,706,111,90,21
74780000Y04HB9CIA883-2020-12-31-ESEF-HR-0,74780000Y04HB9CIA883,HR,2020-12-31,train,/74780000Y04HB9CIA883/2020-12-31/ESEF/HR/0/74780000Y04HB9CIA883-2020-12-31.json,2a08b0555ad9400336eb6fb9d21fe28d583128c34032e66802526db416957e15,496,73,69,4
74780000Y04HB9CIA883-2020-12-31-ESEF-HR-1,74780000Y04HB9CIA883,HR,2020-12-31,train,/74780000Y04HB9CIA883/2020-12-31/ESEF/HR/1/74780000Y04HB9CIA883-2020-12-31.json,99804e5a9bedde505d139181fac1b4f414ebb988a65613c103465a03577e48bc,496,73,69,4
097900BFHJ0000029454-2021-12-31-ESEF-HR-0,097900BFHJ0000029454,HR,2021-12-31,train,/097900BFHJ0000029454/2021-12-31/ESEF/HR/0/Financial statements 2021 HT Group ENG_v10 - final.json,de018ec4cf696db35e8db121ba32637d69e54f16710b1bf062a9f29d9923eac3,501,131,122,9
097900BFHJ0000029454-2021-12-31-ESEF-HR-1,097900BFHJ0000029454,HR,2021-12-31,train,/097900BFHJ0000029454/2021-12-31/ESEF/HR/1/Financial statements 2021 HT Separate ENG_v10 - final.json,22888afed604cdd7c6f363bf5d08935eaec3c4000bd6ed6d2b4bd271392470a7,416,124,111,13
213800C4SW6CHEFZ3P89-2020-12-31-ESEF-HU-0,213800C4SW6CHEFZ3P89,HU,2020-12-31,train,/213800C4SW6CHEFZ3P89/2020-12-31/ESEF/HU/0/213800C4SW6CHEFZ3P89-2020-12-31_hu.json,c1e9861b386f0967f84f308543249f5ff787cb157f153ee52849e6ebb0578c30,296,98,88,10
529900D05TGFDEQACZ88-2020-12-31-ESEF-HU-0,529900D05TGFDEQACZ88,HU,2020-12-31,train,/529900D05TGFDEQACZ88/2020-12-31/ESEF/HU/0/PannErgy Nyrt_Konszolidalt_HUF-2020-12-31.json,4a5b4e1117f37f1c354539705ef0b3af54f0999522bfec8b1f0ad728d9a5645d,242,102,91,11
213800C4SW6CHEFZ3P89-2021-12-31-ESEF-HU-0,213800C4SW6CHEFZ3P89,HU,2021-12-31,train,/213800C4SW6CHEFZ3P89/2021-12-31/ESEF/HU/0/213800C4SW6CHEFZ3P89-2021-12-31-hu.json,9552ea7718a54742bcb2f969bd262f0480d24991a4be1e1a9a319b204073e1ef,276,84,77,7
213800R83KX5FQFGXS67-2021-12-31-ESEF-HU-0,213800R83KX5FQFGXS67,HU,2021-12-31,train,/213800R83KX5FQFGXS67/2021-12-31/ESEF/HU/0/Mol Group 2021 Financial Report HUN ifrs_pr.json,879a595cc9a7f402a49b466ea9776d774f52309ac09360fe093cbc0768869f6b,451,121,115,6
213800R83KX5FQFGXS67-2021-12-31-ESEF-HU-1,213800R83KX5FQFGXS67,HU,2021-12-31,train,/213800R83KX5FQFGXS67/2021-12-31/ESEF/HU/1/Mol Group 2021 Financial Report ENG ifrs_pr.json,cb4c2d9aa244c9f27af7df27a7ff4fb0ff9011f4af182161e66334e5746a2be8,446,121,115,6
2138005WRSDC4DI3BJ43-2021-12-31-ESEF-IS-0,2138005WRSDC4DI3BJ43,IS,2021-12-31,train,/2138005WRSDC4DI3BJ43/2021-12-31/ESEF/IS/0/eik-2021-12-31.json,514a17d83d0ce300b23ae5b8545a9e93f9d58027892d60792298db8f5ef2c478,194,76,71,5
213800QFQIHO7KG2P786-2021-12-31-ESEF-IS-0,213800QFQIHO7KG2P786,IS,2021-12-31,train,/213800QFQIHO7KG2P786/2021-12-31/ESEF/IS/0/213800QFQIHO7KG2P786-2021-12-31-en.json,ae30282e38f2a1dbb15e8d198cfd22c892b902af701783cd750ba27181529d71,184,78,66,12
213800R3IXBON2LBEI63-2021-12-31-ESEF-IS-0,213800R3IXBON2LBEI63,IS,2021-12-31,train,/213800R3IXBON2LBEI63/2021-12-31/ESEF/IS/0/213800R3IXBON2LBEI63-2021-12-31-is.json,b6d0ba37ecb96f87a7edd3565193b17990865f62c0460af3ebfdb43e62ef1151,189,75,63,12
254900CJS0OI5B8GO668-2021-12-31-ESEF-IS-0,254900CJS0OI5B8GO668,IS,2021-12-31,train,/254900CJS0OI5B8GO668/2021-12-31/ESEF/IS/0/254900CJS0OI5B8GO668-2021-12-31-en.json,7c7f07e52a1b8e7ab25cce51039de74f36592965dd93ef6ba4a36d1a46dcafd5,353,93,78,15
254900WR3I1Z9NPC7D84-2021-12-31-ESEF-IS-0,254900WR3I1Z9NPC7D84,IS,2021-12-31,train,/254900WR3I1Z9NPC7D84/2021-12-31/ESEF/IS/0/254900WR3I1Z9NPC7D84-2021-12-31-en.json,5a75c42e654214a9b957ac6f5d69cde73b127156817ada8aa49301e01bbb9c84,396,125,99,26
213800V41GEZTRIJT462-2021-12-31-ESEF-IT-0,213800V41GEZTRIJT462,IT,2021-12-31,train,/213800V41GEZTRIJT462/2021-12-31/ESEF/IT/0/213800V41GEZTRIJT462-2021-12-31-it.json,1105638cccb7d437dc87d4a7fb2c7f0e803465a81188d7c7020cf0c9cd4b772a,281,99,84,15
213800VELZNZPB4AAD87-2021-12-31-ESEF-IT-0,213800VELZNZPB4AAD87,IT,2021-12-31,train,/213800VELZNZPB4AAD87/2021-12-31/ESEF/IT/0/213800VELZNZPB4AAD87-2021-12-31-it.json,30d528fe026c25452b81a9f3b10f13448e164813b11d4ec53a1bb6bf5c6392ac,275,89,82,7
213800VELZNZPB4AAD87-2021-12-31-ESEF-IT-1,213800VELZNZPB4AAD87,IT,2021-12-31,train,/213800VELZNZPB4AAD87/2021-12-31/ESEF/IT/1/213800VELZNZPB4AAD87-2021-12-31-it.json,45546810c58f3906b9c8e457b3bfa9f0f6c4c54374b498fdf2e15bc05aa84c7d,275,89,82,7
2W8N8UU78PMDQKZENC08-2021-12-31-ESEF-IT-0,2W8N8UU78PMDQKZENC08,IT,2021-12-31,train,/2W8N8UU78PMDQKZENC08/2021-12-31/ESEF/IT/0/2W8N8UU78PMDQKZENC08-2021-12-31.json,8a2b929ee965b7ab038dd389627d72127ceae7dda5fec1690f33cd6767973a35,864,198,90,108
2W8N8UU78PMDQKZENC08-2021-12-31-ESEF-IT-1,2W8N8UU78PMDQKZENC08,IT,2021-12-31,train,/2W8N8UU78PMDQKZENC08/2021-12-31/ESEF/IT/1/2W8N8UU78PMDQKZENC08-2021-12-31.json,b356acdb01133b07c8bf263302ef2b55973109526cf628093dceccb388bd5058,864,198,90,108
097900BGMP0000061061-2020-12-31-ESEF-LT-0,097900BGMP0000061061,LT,2020-12-31,train,/097900BGMP0000061061/2020-12-31/ESEF/LT/0/abambergrid-2020-12-31.json,6fc35d7146bb1b0e5c13da0bcd565ed2e4380adb95de5f2f146eaa5c800972a9,573,107,100,7
097900BGMP0000061061-2020-12-31-ESEF-LT-1,097900BGMP0000061061,LT,2020-12-31,train,/097900BGMP0000061061/2020-12-31/ESEF/LT/1/abambergrid-2020-12-31.json,58de5cb461d372cd5a6ef6ace6cb56a66a7f967ab76cdc232c441642e3dcfe5c,573,107,100,7
097900BGMP0000061061-2021-12-31-ESEF-LT-0,097900BGMP0000061061,LT,2021-12-31,train,/097900BGMP0000061061/2021-12-31/ESEF/LT/0/abambergrid-2021-12-31-en.json,29d3608a45b8b29a566e4019d8cfec801fe0de3de43cf2730f9468f80fa3aca9,606,113,108,5
097900BGMP0000061061-2021-12-31-ESEF-LT-1,097900BGMP0000061061,LT,2021-12-31,train,/097900BGMP0000061061/2021-12-31/ESEF/LT/1/abambergrid-2021-12-31-lt.json,bb5d578714ae51c33fc47a25717c4f236d1b2103f9e76814105102e159ec5c05,606,113,108,5
259400GEFKUE2SDJIY70-2021-12-31-ESEF-LT-0,259400GEFKUE2SDJIY70,LT,2021-12-31,train,/259400GEFKUE2SDJIY70/2021-12-31/ESEF/LT/0/abutenostrikotazas-2021-12-31-en.json,026a9a5d130645b564cb6f651abb71c4f343d82a2d3ff280c41b910a04ee44e7,612,107,98,9
2138005O9XJIJN4JPN90-2021-12-31-ESEF-LU-0,2138005O9XJIJN4JPN90,LU,2021-12-31,train,/2138005O9XJIJN4JPN90/2021-12-31/ESEF/LU/0/2138005O9XJIJN4JPN90-2021-12-31-T01.json,88f2dfbf721ae0ba56b7ad10b71cc87ca0ee64d1c85dc11c5e3c3f9e311f2488,618,179,106,73
2138009J99K1RG6E5925-2021-12-31-ESEF-LU-0,2138009J99K1RG6E5925,LU,2021-12-31,train,/2138009J99K1RG6E5925/2021-12-31/ESEF/LU/0/2138009J99K1RG6E5925-2021-12-31-en.json,6778c0c1b9b3bc3cfa445e34d324ca7a3c71f4304ea5445e67d4a5b94f4f8ca3,278,103,98,5
2138009J99K1RG6E5925-2021-12-31-ESEF-LU-1,2138009J99K1RG6E5925,LU,2021-12-31,train,/2138009J99K1RG6E5925/2021-12-31/ESEF/LU/1/2138009J99K1RG6E5925-2021-12-31-en.json,c41f0991c1ed597dd7393b87718940ee68c1b211e01682f50263dbeb7f451ef3,278,103,99,4
