taxonomy,code,name,stratum,gold_kontablo_id,labeler_note
gfs,D4_S1314,"Property income, of which payable to subsector S1314",tail/seen,,
gfs,D7_S1311,"Other current transfers,of which payable to subsector S1311",tail/seen,,
gfs,D7_S1312,"Other current transfers,of which payable to subsector S1312",tail/seen,,
gfs,D7_S1313,"Other current transfers,of which payable to subsector S1313",tail/seen,,
gfs,D7_S1314,"Other current transfers,of which payable to subsector S1314",tail/seen,,
gfs,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",tail/seen,,
gfs,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",tail/seen,,
gfs,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",tail/seen,,
gfs,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",tail/seen,,
gfs,G12_T,"Social contributions, Transactions",tail/seen,,
gfs,G11_T,"Taxes, Transactions",tail/seen,,
gfs,G2_T,"Expense, Transactions",tail/seen,,
gfs,G1_T,"Revenue, Transactions",tail/seen,,
gfs,G24_T,"Interest payable, Transactions",tail/seen,,
gfs,G21_T,"Compensation of employees, Transactions",tail/seen,,
gfs,G22_T,"Use of goods and services, Transactions",tail/seen,,
gfs,G25_T,"Subsidies payable, Transactions",tail/seen,,
gfs,G27_T,"Social benefits, Transactions",tail/seen,,
gfs,GPB_T,"Primary net lending (+) / net borrowing (-), Transactions",tail/seen,,
gfs,G14_T,"Other revenue, Transactions",tail/seen,,
gfs,G26_T,"Grants payable, Transactions",tail/seen,,
gfs,G28_T,"Other expense, Transactions",tail/seen,,
gfs,G13_T,"Grants receivable, Transactions",tail/seen,,
gfs,GF04_T,"Economic affairs, Transactions",tail/seen,,
gfs,GF05_T,"Environmental protection, Transactions",tail/seen,,
gfs,GF06_T,"Housing and community amenities, Transactions",tail/seen,,
gfs,GF07_T,"Health, Transactions",tail/seen,,
gfs,GF08_T,"Recreation, culture and religion, Transactions",tail/seen,,
gfs,GF09_T,"Education, Transactions",tail/seen,,
gfs,GF10_T,"Social protection, Transactions",tail/seen,,
gfs,GF01_T,"General public services, Transactions",tail/seen,,
gfs,GF03_T,"Public order and safety, Transactions",tail/seen,,
gfs,GF02_T,"Defence, Transactions",tail/seen,,
gfs,GF0170_T,"Public debt transactions, Transactions",tail/seen,,
gfs,GF042_T,"Agriculture, forestry, fishing and hunting, Transactions",tail/seen,,
gfs,GF043_T,"Fuel and energy, Transactions",tail/seen,,
gfs,GF044_T,"Mining, manufacturing and construction, Transactions",tail/seen,,
gfs,GF045_T,"Transport, Transactions",tail/seen,,
gfs,GF072_T,"Outpatient services, Transactions",tail/seen,,
gfs,GF073_T,"Hospital services, Transactions",tail/seen,,
gfs,GF0740_T,"Public health services, Transactions",tail/seen,,
gfs,GF094_T,"Tertiary education, Transactions",tail/seen,,
gfs,GF0160_T,"General public services n.e.c., Transactions",tail/seen,,
gfs,GF025_T,"Defence n.e.c., Transactions",tail/seen,,
gfs,GF041_T,"General economic, commercial and labour affairs, Transactions",tail/seen,,
gfs,GF0712_T,"Other medical products, Transactions",tail/seen,,
gfs,GF0760_T,"Health n.e.c., Transactions",tail/seen,,
gfs,GF0950_T,"Education not definable by level, Transactions",tail/seen,,
gfs,GF0980_T,"Education n.e.c., Transactions",tail/seen,,
gfs,GF0610_T,"Housing development, Transactions",tail/seen,,
gfs,GF0630_T,"Water supply, Transactions",tail/seen,,
gfs,GF0640_T,"Street lighting, Transactions",tail/seen,,
gfs,GF0660_T,"Housing and community amenities n.e.c., Transactions",tail/seen,,
gfs,GF0810_T,"Recreational and sporting services, Transactions",tail/seen,,
gfs,GF0820_T,"Cultural services, Transactions",tail/seen,,
gfs,GF0830_T,"Broadcasting and publishing services, Transactions",tail/seen,,
gfs,GF012_T,"Foreign economic aid, Transactions",tail/seen,,
gfs,GF013_T,"General services, Transactions",tail/seen,,
gfs,GF0140_T,"Basic research, Transactions",tail/seen,,
gfs,GF0180_T,"Transfers of a general character between different levels of government, Transactions",tail/seen,,
gfs,GF0210_T,"Military defence, Transactions",tail/seen,,
gfs,GF0230_T,"Foreign military aid, Transactions",tail/seen,,
gfs,GF011_T,"Executive and legislative organs, financial and fiscal affairs, external affairs, Transactions",tail/seen,,
gfs,GF0460_T,"Communication, Transactions",tail/seen,,
gfs,GF0510_T,"Waste management, Transactions",tail/seen,,
gfs,GF0520_T,"Waste water management, Transactions",tail/seen,,
gfs,GF0540_T,"Protection of biodiversity and landscape, Transactions",tail/seen,,
gfs,GF0560_T,"Environmental protection n.e.c., Transactions",tail/seen,,
gfs,GF091_T,"Pre-primary and primary education, Transactions",tail/seen,,
gfs,GF092_T,"Secondary education, Transactions",tail/seen,,
gfs,GF0930_T,"Post-secondary non-tertiary education, Transactions",tail/seen,,
gfs,GF047_T,"Other industries, Transactions",tail/seen,,
gfs,GF048_T,"R&D Economic affairs, Transactions",tail/seen,,
gfs,GF0490_T,"Economic affairs n.e.c., Transactions",tail/seen,,
gfs,GF0860_T,"Recreation, culture and religion n.e.c., Transactions",tail/seen,,
gfs,GF0960_T,"Subsidiary services to education, Transactions",tail/seen,,
gfs,GF0970_T,"R&D Education, Transactions",tail/seen,,
gfs,GF101_T,"Sickness and disability, Transactions",tail/seen,,
gfs,GF1020_T,"Old age, Transactions",tail/seen,,
gfs,GF1040_T,"Family and children, Transactions",tail/seen,,
gfs,GF1050_T,"Unemployment, Transactions",tail/seen,,
gfs,GF1060_T,"Housing, Transactions",tail/seen,,
gfs,GF1070_T,"Social exclusion n.e.c., Transactions",tail/seen,,
gfs,GF1090_T,"Social protection n.e.c., Transactions",tail/seen,,
gfs,GF0310_T,"Police services, Transactions",tail/seen,,
gfs,GF0320_T,"Fire-protection services, Transactions",tail/seen,,
gfs,GF0330_T,"Law courts, Transactions",tail/seen,,
gfs,GF0340_T,"Prisons, Transactions",tail/seen,,
gfs,GF0360_T,"Public order and safety n.e.c., Transactions",tail/seen,,
gfs,GF0620_T,"Community development, Transactions",tail/seen,,
gfs,GF0840_T,"Religious and other community services, Transactions",tail/seen,,
gfs,GF0220_T,"Civil defence, Transactions",tail/seen,,
gfs,GF0530_T,"Pollution abatement, Transactions",tail/seen,,
gfs,GF075_T,"R&D Health, Transactions",tail/seen,,
gfs,GF0850_T,"R&D Recreation, culture and religion, Transactions",tail/seen,,
gfs,GF0240_T,"R&D Defence, Transactions",tail/seen,,
gfs,GF0350_T,"R&D Public order and safety, Transactions",tail/seen,,
gfs,GF0550_T,"R&D Environmental protection, Transactions",tail/seen,,
gfs,GF1030_T,"Survivors, Transactions",tail/seen,,
gfs,GF1080_T,"R&D Social protection, Transactions",tail/seen,,
gfs,GF0150_T,"R&D General public services, Transactions",tail/seen,,
gfs,GF0650_T,"R&D Housing and community amenities, Transactions",tail/seen,,
gfs,G23_T,"Consumption of fixed capital (CFC), Transactions",tail/seen,,
gfs,G6_A_SP,"Net worth, Assets, Stock positions",tail/seen,,
gfs,NFA_A_SP,"Nonfinancial assets, Stock positions",tail/seen,,
gfs,GGB_T,"Government balance per national definition, Transactions",tail/seen,,
gfs,FA_A_SP,"Financial assets, Stock positions",tail/seen,,
gfs,GF066_T,"Housing and community amenities n.e.c., Transactions",tail/seen,,
gfs,L_SP,"Liabilities, Stock positions",tail/seen,,
