taxonomy,code,name,stratum,gold_kontablo_id,basis
gfs,GF0712_T,"Other medical products, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF072_T,"Outpatient services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF073_T,"Hospital services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0740_T,"Public health services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF075_T,"R&D Health, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0760_T,"Health n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF07_T,"Health, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF08,"Recreation, culture and religion",head/seen,LENS:cofog,agreed
gfs,GF0801,Recreational and sporting services,mid/seen,LENS:cofog,agreed
gfs,GF0802,Cultural services,head/seen,LENS:cofog,agreed
gfs,GF0803,Broadcasting and publishing services,mid/seen,LENS:cofog,agreed
gfs,GF0804,Religious and other community services,mid/seen,LENS:cofog,agreed
gfs,GF0805,"R&D Recreation, culture and religion",mid/seen,LENS:cofog,agreed
gfs,GF0806,"Recreation, culture and religion n.e.c.",mid/seen,LENS:cofog,agreed
gfs,GF0810_T,"Recreational and sporting services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0820_T,"Cultural services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0830_T,"Broadcasting and publishing services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0840_T,"Religious and other community services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0850_T,"R&D Recreation, culture and religion, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0860_T,"Recreation, culture and religion n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF08_T,"Recreation, culture and religion, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF09,Education,head/seen,LENS:cofog,agreed
gfs,GF0901,Pre-primary and primary education,mid/seen,LENS:cofog,agreed
gfs,GF0902,Secondary education,mid/seen,LENS:cofog,agreed
gfs,GF0903,Post-secondary non-tertiary education,mid/seen,LENS:cofog,agreed
gfs,GF0904,Tertiary education,mid/seen,LENS:cofog,agreed
gfs,GF0905,Education not definable by level,mid/seen,LENS:cofog,agreed
gfs,GF0906,Subsidiary services to education,mid/seen,LENS:cofog,agreed
gfs,GF0907,R&D Education,mid/seen,LENS:cofog,agreed
gfs,GF0908,Education n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF091_T,"Pre-primary and primary education, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF092_T,"Secondary education, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0930_T,"Post-secondary non-tertiary education, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF094_T,"Tertiary education, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0950_T,"Education not definable by level, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0960_T,"Subsidiary services to education, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0970_T,"R&D Education, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0980_T,"Education n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF09_T,"Education, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF10,Social protection,head/seen,LENS:cofog,agreed
gfs,GF1001,Sickness and disability,mid/seen,LENS:cofog,agreed
gfs,GF1002,Old age,mid/seen,LENS:cofog,agreed
gfs,GF1003,Survivors,mid/seen,LENS:cofog,agreed
gfs,GF1004,Family and children,mid/seen,LENS:cofog,agreed
gfs,GF1005,Unemployment,mid/seen,LENS:cofog,agreed
gfs,GF1006,Housing,mid/seen,LENS:cofog,agreed
gfs,GF1007,Social exclusion n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF1008,R&D Social protection,tail/seen,LENS:cofog,agreed
gfs,GF1009,Social protection n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF101_T,"Sickness and disability, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1020_T,"Old age, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1030_T,"Survivors, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1040_T,"Family and children, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1050_T,"Unemployment, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1060_T,"Housing, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1070_T,"Social exclusion n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1080_T,"R&D Social protection, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF1090_T,"Social protection n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF10_T,"Social protection, Transactions",tail/seen,LENS:cofog,agreed
gfs,GGB_T,"Government balance per national definition, Transactions",tail/seen,AGGREGATE:income,agreed
gfs,GPB_T,"Primary net lending (+) / net borrowing (-), Transactions",tail/seen,AGGREGATE:income,agreed
gfs,L_SP,"Liabilities, Stock positions",tail/seen,AGGREGATE:liability,agreed
gfs,NFA_A_SP,"Nonfinancial assets, Stock positions",tail/seen,AGGREGATE:asset,agreed
gfs,NP,Acquisitions less disposals of non-financial non-produced assets,head/seen,AGGREGATE:cash_flow,adjudicated
gfs,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,head/seen,AGGREGATE:cash_flow,adjudicated
gfs,P2,Intermediate consumption,head/seen,,agreed
gfs,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",head/seen,AGGREGATE:expense,agreed
gfs,P3,Final consumption expenditure,head/seen,AGGREGATE:expense,agreed
gfs,P31,Individual consumption expenditure,head/seen,AGGREGATE:expense,agreed
gfs,P32,Collective consumption expenditure,head/seen,AGGREGATE:expense,agreed
gfs,P5,Gross capital formation,head/seen,AGGREGATE:cash_flow,adjudicated
gfs,P51G,Gross fixed capital formation,head/seen,AGGREGATE:cash_flow,adjudicated
gfs,TE,Total general government expenditure,head/seen,AGGREGATE:expense,agreed
gfs,TOTAL,Total,head/seen,AGGREGATE:expense,agreed
