taxonomy,code,name,stratum,label_A,label_B,note_A,note_B,adjudicated,adjudication_note
gfs,D7_S1313,"Other current transfers,of which payable to subsector S1313",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D7 (intergovernmental transfers paid),"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D7_S1314,"Other current transfers,of which payable to subsector S1314",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D7 (intergovernmental transfers paid),"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D9,Capital transfers,head/seen,EXP_GrantsAndSubsidiesPaid,AGGREGATE:expense,"capital transfers payable, dominated by investment grants; D99 debt forgiveness is residual",hierarchy parent: investment grants plus debt assumption/cancellation,AGGREGATE:expense,"D9 = investment grants (D92, which does map) + other capital transfers (D99, including debt assumption and cancellation, which do not). Parent spanning a mapped and an unmapped constituent. Ruled with B."
gfs,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D9 capital transfers paid,"counterparty memo split of capital transfers; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D9 capital transfers paid,"counterparty memo split of capital transfers; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D9 capital transfers paid,"counterparty memo split of capital transfers; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D9 capital transfers paid,"counterparty memo split of capital transfers; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,NP,Acquisitions less disposals of non-financial non-produced assets,head/seen,AGGREGATE:asset.noncurrent,AGGREGATE:cash_flow,net acquisitions of land/subsoil/licences; movement rolling up ppe+intangibles,"net acquisitions less disposals: computed flow, not a balance",AGGREGATE:cash_flow,"Both labelers ruled AGGREGATE; the disagreement is lens choice only. These are period movements (acquisitions less disposals), not balances. An asset.noncurrent lens would assert a stock rollup and conflate stock with flow; cash_flow is the only flow-shaped lens in the pre-registered list. Ruled with B, noting the lens vocabulary has no accrual-investing slot -- a limitation of the vocabulary, not of either labeler."
gfs,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,head/seen,AGGREGATE:asset.noncurrent,AGGREGATE:cash_flow,"P5+NP; capital-formation rollup (period movement in non-current assets), not a balance","explicit combination P5+NP; investing flow, not a balance",AGGREGATE:cash_flow,"Both labelers ruled AGGREGATE; the disagreement is lens choice only. These are period movements (acquisitions less disposals), not balances. An asset.noncurrent lens would assert a stock rollup and conflate stock with flow; cash_flow is the only flow-shaped lens in the pre-registered list. Ruled with B, noting the lens vocabulary has no accrual-investing slot -- a limitation of the vocabulary, not of either labeler."
gfs,P5,Gross capital formation,head/seen,AGGREGATE:asset.noncurrent,AGGREGATE:cash_flow,"gross capital formation; rolls up acquisitions of non-current assets, not a balance","subtotal P51G+P52+P53; capital flow, not a balance",AGGREGATE:cash_flow,"Both labelers ruled AGGREGATE; the disagreement is lens choice only. These are period movements (acquisitions less disposals), not balances. An asset.noncurrent lens would assert a stock rollup and conflate stock with flow; cash_flow is the only flow-shaped lens in the pre-registered list. Ruled with B, noting the lens vocabulary has no accrual-investing slot -- a limitation of the vocabulary, not of either labeler."
gfs,P51G,Gross fixed capital formation,head/seen,AGGREGATE:asset.noncurrent,AGGREGATE:cash_flow,"GFCF = period additions to ppe/infrastructure/military assets; movement, not a balance","gross fixed capital formation is a period movement, not a PPE balance",AGGREGATE:cash_flow,"Both labelers ruled AGGREGATE; the disagreement is lens choice only. These are period movements (acquisitions less disposals), not balances. An asset.noncurrent lens would assert a stock rollup and conflate stock with flow; cash_flow is the only flow-shaped lens in the pre-registered list. Ruled with B, noting the lens vocabulary has no accrual-investing slot -- a limitation of the vocabulary, not of either labeler."
