parent_lei,parent_name,child_lei,child_name,child_company_number,relationship_type,in_downloaded_corpus
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900G8G9JTH304VF87,"NEXT47 FUND 2023, L.P.",LP022504,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900HHRRVPVJZ6UV64,"NEXT47 FUND 2020, L.P.",LP020376,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900HRKE7AUVVBD562,SIEMENS HEALTHCARE DIAGNOSTICS MANUFACTURING LTD,01915763,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900HY9VDOIDWQA321,"NEXT47 FUND 2019, L.P.",LP019694,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900IJ8WUYDPAEUT28,SIEMENS MOBILITY LIMITED,00016033,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900JXA09NNIABVG54,"NEXT47 FUND 2021, L.P.",LP021102,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900LVTTWKP68R8E80,"Next47 Fund 2026, L.P.",LP024094,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900OFOQACHQHM6177,"NEXT47 FUND 2018, L.P.",LP019493,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900Q0S0U4SD53JT22,SIEMENS LOGISTICS LIMITED,08612108,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900RTEQLK71M9TT04,SIEMENS HEALTHCARE LIMITED,09567186,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900S0A5JJU42K4O16,ELECTRIUM SALES LIMITED,02226729,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900S33B1KQWJ6TJ50,SIEMENS HOLDINGS PLC,02465263,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900UOQGI0NOD5KS88,SIEMENS ELECTRONIC DESIGN AUTOMATION LTD,01694833,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900URNZL1US701N57,DECEMBER 2015 SOFTWARE LIMITED,09912729,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900WA6MSZY3P11D09,SIEMENS EMOBILITY CHARGING LIMITED,13257700,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900X0F1IW8YTNPH77,PROJECT VENTURES RAIL INVESTMENTS I LIMITED,08243845,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900Y6Y0FTEWJLU460,Innomotics Motors and Large Drives Limited,13851891,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900ZZVLZ93I1AW009,SIEMENS PLC,00727817,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,984500BBA405XD2BA802,ALTAIR ENGINEERING LIMITED,03051069,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,52990026WU4MWFA1P303,DB LONDON (INVESTOR SERVICES) NOMINEES LIMITED,09610990,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,5299005XTWXW51FR9A63,RREEF EUROPEAN VALUE ADDED I (G.P.) LIMITED,05869878,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,5299005YJQDLC0YHHR78,CITY LEASING (THAMESIDE) LIMITED,01394455,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,5299006REQ8XX4M6LQ29,CITY LEASING LIMITED,01039353,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900A6KXIFZYVGEF38,DB UK HOLDINGS LIMITED,03650236,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900AWZSNTMVWDBE17,DEUTSCHE HOLDINGS NO.4 LIMITED,06315183,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900CYMVBQDMUMAG81,EUROPEAN VALUE ADDED I (ALTERNATE G.P.) LLP,OC397227,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900HNH6UOOF40A490,DB UK BANK LIMITED,00315841,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900IC1PRZQNIW7P31,DEUTSCHE HOLDINGS LIMITED,05593555,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900IDIVPXHQ72XG19,DWS INVESTMENTS UK LIMITED,05233891,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900KVU8W2OYJERL94,BT GLOBENET NOMINEES LIMITED,02171790,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900M5R358Y7RFZC10,DWS GROUP SERVICES UK LIMITED,01942565,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900MQH538RON6BD44,DEUTSCHE HOLDINGS NO.2 LIMITED,06007148,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900NWNZBC49AB6198,LONDON INDUSTRIAL LEASING LIMITED,00913007,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900OMA6G6HP7X5523,DEUTSCHE NOMINEES LIMITED,00296842,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900QGJ9AHLS3PJ393,DB OVERSEAS HOLDINGS LIMITED,01268118,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900QJ7ZMOVPYIE255,BALDUR MORTGAGES LIMITED,10646592,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900R8SW6D0TOM4Y51,DB GROUP SERVICES (UK) LIMITED,03077349,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900SVE09UXRXL5B58,DEUTSCHE HOLDINGS NO.3 LIMITED,06007134,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900SWPDY3ZOZ2RU29,DBOI GLOBAL SERVICES (UK) LIMITED,06583053,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900TRRKOG3M46JN80,DB INTERNAL FUNDING LIMITED,02602159,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900UOUW9VB5CFLB19,D B INVESTMENTS (GB) LIMITED,02400675,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,529900YWYV1BB5FUZK64,DB INVESTMENT PARTNERS LIMITED,13679854,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,6354002CRGHLJFNUZQ44,DEUTSCHE ALTERNATIVE ASSET MANAGEMENT (UK) LIMITED,02478500,IS_DIRECTLY_CONSOLIDATED_BY,False
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,635400VPPM8R1SOESU52,DWS ALTERNATIVES GLOBAL LIMITED,05603289,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,21380039ET3UD11RBS65,ALLIANZ HOLDINGS PLC,05134436,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,21380092XCNGK4CL2M64,PETIOS LIMITED,05995136,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800GEVVCUAFNVET58,ALLIANZ ENGINEERING INSPECTION SERVICES LIMITED,05441840,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800IYLUUCV9A4KM18,BUDDIES ENTERPRISES LIMITED,04013396,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800L7M9UC5STANH88,ALLIANZ EQUITY INVESTMENTS LIMITED,02165184,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800LCZNQNMVLS8T93,LIVERPOOL VICTORIA GENERAL INSURANCE GROUP LIMITED,04332926,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800LPY1CUSQCBNC84,HIGHWAY INSURANCE GROUP LIMITED,02998217,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800MMPMNKCVTR4375,ALLIANZ PENSION FUND TRUSTEES LIMITED,01088967,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800QXY6G66CQVB770,ALLIANZ INSURANCE PLC,00084638,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800RCUHURMG5EFJ51,PET PLAN LIMITED,01282939,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800RNA78IJUC16I17,ALLIANZ MANAGEMENT SERVICES LIMITED,03947280,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800SL2ATL3XQX1Y90,INNOVATION GROUP HOLDINGS LIMITED,11838883,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800UHGR8BPHS6RQ67,ALLIANZ (UK) LIMITED,01989349,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800UKLJ4OWNE65Y83,ALLIANZ PROPERTIES LIMITED,02071488,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800XRI2UO3DTMCP62,LV REPAIR SERVICES LIMITED,09366434,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,213800ZXNHYS9YGMS961,ALLIANZ UK DISTRIBUTION LIMITED,03007252,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,5299002MF5D6UOVE1355,ALLIANZ GLOBAL INVESTORS UK LIMITED,11516839,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,529900EO37QGS7QP0F54,ALLIANZ EUROPE LIMITED,01571671,IS_DIRECTLY_CONSOLIDATED_BY,False
529900K9B0N5BT694847,Allianz SE,529900YFJCLKSS39VM62,EULER HERMES SERVICES UK LIMITED,03376459,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,21380024A2N42GCTQG97,METHODS+MASTERY LIMITED,03732121,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138002CGODABTGDI639,OMNICOM DDB HOLDINGS LIMITED,09290676,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138003CXB8DBPZ4VU56,ADELPHI COMMUNICATIONS LIMITED,02761321,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138003MDXE4DEKL1463,ADELPHI INTERNATIONAL RESEARCH LIMITED,02419446,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138004EFWHKYNQOW346,DDB UK LIMITED,00933578,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138004GHHAGZM36TX05,CODE WORLDWIDE LIMITED,04146951,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138004M5N2FCYRRBZ59,SIEGEL+GALE LIMITED,04725268,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138004VSLAUWOZMP978,ADELPHI VALUES LIMITED,02761308,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,21380054AAPMAYFEMR47,DDB EUROPE LIMITED,04809308,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138008EGV6G1WPFLV09,TBWA LIMITED,01367372,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138008IF3VJ2CQ7BW38,EGPLUS WORLDWIDE LIMITED,01029724,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138008OZW7I2EFWEI94,RADIATE EUROPE LIMITED,06502262,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138008P93D5EOR7S123,CHAMELEON COMMUNICATIONS INTERNATIONAL LTD,03441290,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,2138009ITN428MZQ3W70,OMNICOM EMEA HOLDINGS LIMITED,09461219,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800A9PYUI4GZPTW98,THE BEANSTALK GROUP UK LIMITED,04159987,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800AF5YFPRDLSD237,PORTLAND PR LIMITED,04195041,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800AR1YVDVJQ75B72,BBDO EMEA LIMITED,01901389,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800BLWNODMYADIW47,FUSE INTERNATIONAL LIMITED,06803568,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800DMLC5LWLIKQ350,CARDINIA REAL ESTATE UK LIMITED,09111047,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800DXRU9XOGT6FJ10,TRO GROUP LIMITED,02361809,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800E4EM6R9SMS7822,TBWA UK GROUP LIMITED,04332188,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800EGFYKLZ22RY487,CEDAR COMMUNICATIONS LIMITED,02709621,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800EL2OTM2AAF6H23,HOSKER MOORE KENT MELIA LIMITED,04197028,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800FRBCNR5NYBNR27,OMNICOM APIMA INVESTMENTS LIMITED,11056434,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800G9YWKYLU1BIR82,RAPP LIMITED,01581935,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800GSGKDDOZM3FW61,FLEISHMAN-HILLARD GROUP LIMITED,01521506,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800H1JKR39YQJGX62,CRITICAL MASS (UK) LIMITED,06238280,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800I24IBFIWVSVT38,HALL & PARTNERS EUROPE LIMITED,02733595,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800JBHE39OG74OJ98,OMNICOM FINANCE HOLDINGS PLC,11432221,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800KAVHECAI8YMH43,WOLFF OLINS LIMITED,01945130,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800LB1Q23RLWGB382,OMNICOM MEDIA GROUP EUROPE LIMITED,01662822,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800LKG9Y7R2QPC279,REDWOOD PUBLISHING LIMITED,03582472,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800LMVU1PB4S3TW27,TBWA\MANCHESTER LIMITED,02160991,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800LNZ33YKU673631,DDB REMEDY LIMITED,07995881,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800NN8KUEJGPTMV81,BBDO EUROPEAN HOLDINGS LIMITED,04127645,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800NQD4YZYVKXB121,INTERBRAND U.K. LIMITED,01703469,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800O3IGSI5ZHXQL07,DHE REGIONAL LIMITED,09327369,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800P6COWGN2VQZZ64,KETCHUM LIMITED,01733060,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800PXMZGD32MBIX16,THE PLANNING SHOP INTERNATIONAL LIMITED,03037899,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800QWVHVM483PMW51,TBWA\WORLDHEALTH LONDON LIMITED,01491788,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800R8M4YNFJ9AIH83,OMNICOM MEDIA GROUP UK LIMITED,04431736,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800SISGDTUIHFYX85,NAVIGATOR DDB LIMITED,03854431,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800SLGHVOCOQ8AO16,TEQUILA LONDON LIMITED,02300483,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800SNUSVTU5RYIW13,AMV BBDO INVESTMENTS LIMITED,01699246,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800ULYUSWHNASMO74,MOTHER TONGUE LIMITED,02565571,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800VIC6UT1L8DYQ08,OPTIMUM MEDIA BUYING LIMITED,04430787,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800WWE665F5TIZ359,PORTER NOVELLI LIMITED,01101649,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800XW9ATXB72J3W20,OMD EMEA LIMITED,04094368,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800YINBTKNV13HJ82,ACCESS INTEGRATED BRAND COMMUNICATIONS LIMITED,02809649,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800YKN6VKUJ1CUJ23,ABBOTT MEAD VICKERS GROUP LIMITED,01336553,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,213800ZRBTTA8YQDLB60,ADELPHI GROUP LIMITED,01975338,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,549300FGJB2TTDTTT105,OMNICOM FINANCE LIMITED,01064095,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,549300TC00WOQOYNGR78,OMNICOM EUROPE LIMITED,04816192,IS_DIRECTLY_CONSOLIDATED_BY,False
HKUPACFHSSASQK8HLS17,OMNICOM GROUP INC.,984500F16BDDD57A5502,OMNICOM CAPITAL HOLDINGS PLC,13671874,IS_DIRECTLY_CONSOLIDATED_BY,False
O4QK7KMMK83ITNTHUG69,Aegon Ltd.,213800HW5JU8BA4IMC33,AEGON UK PLC,03679296,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138001AQZ83APCS6I59,AXA GROUP OPERATIONS UK LIMITED,01854856,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138002HVGXR77UXY504,ARCHITAS LIMITED,02638607,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138002QY3XLOLHFYI55,THINC HOLDINGS LIMITED,05936981,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138002UENGZ1BD6FP71,AXA GLOBAL HEALTHCARE (UK) LIMITED,03039521,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138003CMF813DZA4E20,AXA XL INSURANCE COMPANY UK LIMITED,05328622,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138003FNM6OQTLK8Y05,AXA HEALTH LIMITED,12839134,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138003Q2XO1OT67XU28,ROYAL EXCHANGE ASSURANCE,ZC000080,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,21380057BJKNFY22ZJ07,AXA AFRICA SPECIALTY RISKS CORPORATE MEMBER LIMITED,09956453,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,2138007L3RK95ZXYI508,PPP TAKING CARE LIMITED,01488490,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,213800ACIVUFZMPIRS56,CATLIN SYNDICATE 6112 LIMITED,07856688,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,213800BJLJQLEW5BSR82,AXA UK PENSION TRUSTEES LIMITED,00477312,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,213800BT7MLN1ZSH6L16,AXA HEALTH SERVICES LIMITED,03429917,IS_DIRECTLY_CONSOLIDATED_BY,False
F5WCUMTUM4RKZ1MAIE39,AXA,213800E1YIDFN6KALE15,CATLIN RISK SOLUTIONS LIMITED,01722567,IS_DIRECTLY_CONSOLIDATED_BY,False
