GROUP,CODE,NAME_EN,NAME_HI,CATEGORY,NATURE,KONTABLO_L3,IFRS_TAG,NOTES
4,4030,Retained Earnings,प्रतिधारित आय,Equity,CREDIT,equity.retained,RetainedEarnings,P&L balance
5,5000,Revenue from Operations,परिचालन से राजस्व,Revenue,CREDIT,revenue.operating,Revenue,Ind AS 115 net revenue
5,5010,Other Income,अन्य आय,Revenue,CREDIT,revenue.other,OtherIncome,Interest; dividends; FX gains
6,6000,Cost of Raw Materials Consumed,उपभोग की गई कच्चे माल की लागत,Expense,DEBIT,expense.cogs,CostOfSales,
6,6010,Purchases of Traded Goods,व्यापारिक माल की खरीद,Expense,DEBIT,expense.cogs,CostOfSales,
6,6020,Changes in Inventories,माल-सूची में परिवर्तन,Expense,DEBIT,expense.cogs,CostOfSales,Closing minus opening stock
6,6030,Employee Benefits Expense,कर्मचारी लाभ व्यय,Expense,DEBIT,expense.admin,EmployeeBenefitsExpense,Salaries + PF + ESI + gratuity
6,6040,Finance Costs,वित्त लागत,Expense,DEBIT,expense.interest,FinanceCosts,Interest + bank charges
6,6050,Depreciation and Amortization,मूल्यह्रास और परिशोधन,Expense,DEBIT,expense.depreciation,DepreciationAndAmortisationExpense,Per Schedule II of Companies Act 2013
6,6060,Other Expenses,अन्य व्यय,Expense,DEBIT,expense.admin,OtherExpenses,
6,6070,Tax Expense — Current,कर व्यय — वर्तमान,Expense,DEBIT,expense.tax,TaxIncomeExpense,
6,6080,Tax Expense — Deferred,कर व्यय — स्थगित,Expense,DEBIT,expense.tax,TaxIncomeExpense,Ind AS 12 deferred tax movement
